expense_id,amount,merchant,description,category
SEED0,2713.64,Swiggy,bought groceries at dmart,Food & Dining
SEED1,1664.92,Metro,uber ride to office,Transport
SEED2,3718.48,Mall,clothes from zara,Shopping
SEED3,3170.99,Electricity Board,electricity bill payment bescom,Utilities
SEED4,1542.51,Apollo,doctor consultation fee,Health
SEED5,877.49,PVR,movie tickets pvr inox,Entertainment
SEED6,3596.62,Udemy,udemy course online learning,Education
SEED7,735.48,OYO,hotel booking oyo makemytrip,Travel
SEED8,4382.71,Nykaa,face wash cetaphil,Personal Care
SEED9,585.27,Reliance Digital,laptop purchase dell hp,Electronics
SEED10,1363.55,ATM,miscellaneous expense,Other
SYN0,7749.67,Jio,wifi bill,Utilities
SYN1,1830.85,Bank,bank charges,Other
SYN2,7846.59,Mall,payment,Shopping
SYN3,5529.58,MedPlus,pharmacy,Health
SYN4,7158.49,ATM,bank charges,Other
SYN5,8158.49,Reliance Digital,payment,Electronics
SYN6,8567.19,College,books purchase,Education
SYN7,5231.89,PVR,spotify premium,Entertainment
SYN8,2107.34,Bank,bank charges,Other
SYN9,5698.91,Apollo,pharmacy,Health
SYN10,760.64,Croma,laptop repair,Electronics
SYN11,5820.43,Udemy,payment,Education
SYN12,3243.23,Mall,clothes shopping,Shopping
SYN13,7701.96,ATM,cash withdrawal,Other
SYN14,1592.75,Nykaa,salon visit,Personal Care
SYN15,5189.67,Airtel,payment,Utilities
SYN16,1954.2,Apollo,pharmacy,Health
SYN17,3575.58,Zomato,payment,Food & Dining
SYN18,5618.14,Bank,payment,Other
SYN19,6309.3,OYO,hotel stay,Travel
SYN20,3993.27,Amazon,amazon purchase,Shopping
SYN21,458.29,IRCTC,hotel stay,Travel
SYN22,7594.8,MedPlus,pharmacy,Health
SYN23,1384.12,OYO,train ticket,Travel
SYN24,7421.93,Apollo,payment,Health
SYN25,9584.0,OYO,trip package,Travel
SYN26,7273.54,Croma,charger buy,Electronics
SYN27,2563.12,Amazon,flipkart order,Shopping
SYN28,581.32,OYO,train ticket,Travel
SYN29,4839.85,Jio,gas bill,Utilities
SYN30,584.7,Mall,clothes shopping,Shopping
SYN31,155.01,College,books purchase,Education
SYN32,7162.47,Swiggy,zomato order,Food & Dining
SYN33,9669.47,Jio,gas bill,Utilities
SYN34,236.33,Bank,bank charges,Other
SYN35,803.36,IRCTC,hotel stay,Travel
SYN36,1413.57,Salon,shampoo purchase,Personal Care
SYN37,5652.54,College,payment,Education
SYN38,3471.58,Zomato,zomato order,Food & Dining
SYN39,8055.43,MedPlus,doctor visit,Health
SYN40,5195.21,Bank,bank charges,Other
SYN41,9823.4,Croma,payment,Electronics
SYN42,636.23,Uber,ola cab,Transport
SYN43,7055.09,Reliance Digital,phone purchase,Electronics
SYN44,8539.24,Udemy,books purchase,Education
SYN45,2186.16,Reliance Digital,phone purchase,Electronics
SYN46,3084.84,Reliance Digital,payment,Electronics
SYN47,2460.7,Apollo,pharmacy,Health
SYN48,8447.67,College,course fee,Education
SYN49,5507.65,Croma,charger buy,Electronics
SYN50,1352.27,MedPlus,hospital bill,Health
SYN51,4078.61,Udemy,course fee,Education
SYN52,3311.57,College,tuition fee,Education
SYN53,3670.95,Uber,payment,Transport
SYN54,784.86,Apollo,medicine purchase,Health
SYN55,9013.06,College,course fee,Education
SYN56,5328.31,Swiggy,swiggy delivery,Food & Dining
SYN57,1942.95,Bank,cash withdrawal,Other
SYN58,8978.55,Ola,petrol refill,Transport
SYN59,8061.72,MedPlus,payment,Health
SYN60,2291.56,College,course fee,Education
SYN61,1054.88,Flipkart,amazon purchase,Shopping
SYN62,1284.73,Ola,metro recharge,Transport
SYN63,5757.97,Croma,laptop repair,Electronics
SYN64,2849.63,Mall,amazon purchase,Shopping
SYN65,7939.56,Swiggy,swiggy delivery,Food & Dining
